"Label (Grouping)","Population 1 year and over"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Winston County, Alabama",""
"    Total",""
"        Estimate","23,474"
"        Margin of Error","±63"
"    Moved; within same county",""
"        Estimate","3.4%"
"        Margin of Error","±1.1"
"    Moved; from different county, same state",""
"        Estimate","2.8%"
"        Margin of Error","±0.9"
"    Moved; from different  state",""
"        Estimate","1.4%"
"        Margin of Error","±0.9"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Aleutians East Borough, Alaska",""
"    Total",""
"        Estimate","3,391"
"        Margin of Error","±10"
"    Moved; within same county",""
"        Estimate","4.3%"
"        Margin of Error","±1.8"
"    Moved; from different county, same state",""
"        Estimate","3.3%"
"        Margin of Error","±2.2"
"    Moved; from different  state",""
"        Estimate","5.5%"
"        Margin of Error","±2.7"
"    Moved; from abroad",""
"        Estimate","2.9%"
"        Margin of Error","±1.5"
"Aleutians West Census Area, Alaska",""
"    Total",""
"        Estimate","5,148"
"        Margin of Error","±10"
"    Moved; within same county",""
"        Estimate","8.4%"
"        Margin of Error","±3.0"
"    Moved; from different county, same state",""
"        Estimate","2.8%"
"        Margin of Error","±1.4"
"    Moved; from different  state",""
"        Estimate","9.0%"
"        Margin of Error","±3.1"
"    Moved; from abroad",""
"        Estimate","3.7%"
"        Margin of Error","±2.1"
"Anchorage Municipality, Alaska",""
"    Total",""
"        Estimate","285,526"
"        Margin of Error","±423"
"    Moved; within same county",""
"        Estimate","10.1%"
"        Margin of Error","±0.9"
"    Moved; from different county, same state",""
"        Estimate","1.5%"
"        Margin of Error","±0.4"
"    Moved; from different  state",""
"        Estimate","4.1%"
"        Margin of Error","±1.1"
"    Moved; from abroad",""
"        Estimate","0.6%"
"        Margin of Error","±0.2"
"Bethel Census Area, Alaska",""
"    Total",""
"        Estimate","18,093"
"        Margin of Error","±67"
"    Moved; within same county",""
"        Estimate","7.0%"
"        Margin of Error","±1.6"
"    Moved; from different county, same state",""
"        Estimate","2.9%"
"        Margin of Error","±1.4"
"    Moved; from different  state",""
"        Estimate","0.6%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.2"
"Bristol Bay Borough, Alaska",""
"    Total",""
"        Estimate","864"
"        Margin of Error","±76"
"    Moved; within same county",""
"        Estimate","4.6%"
"        Margin of Error","±3.6"
"    Moved; from different county, same state",""
"        Estimate","9.6%"
"        Margin of Error","±12.5"
"    Moved; from different  state",""
"        Estimate","4.6%"
"        Margin of Error","±3.4"
"    Moved; from abroad",""
"        Estimate","3.8%"
"        Margin of Error","±6.4"
"Chugach Census Area, Alaska",""
"    Total",""
"        Estimate","6,875"
"        Margin of Error","±48"
"    Moved; within same county",""
"        Estimate","3.4%"
"        Margin of Error","±1.6"
"    Moved; from different county, same state",""
"        Estimate","1.1%"
"        Margin of Error","±0.7"
"    Moved; from different  state",""
"        Estimate","8.7%"
"        Margin of Error","±3.9"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Copper River Census Area, Alaska",""
"    Total",""
"        Estimate","2,594"
"        Margin of Error","±22"
"    Moved; within same county",""
"        Estimate","7.1%"
