"Label (Grouping)","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Less than high school graduate","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma"
"        Estimate","(X)","22.5%","(X)","2.4%","10.4%"
"    Female","","","","",""
"        Estimate","1,372","194","14,249","305","965"
"    Percent Female","","","","",""
"        Estimate","(X)","14.1%","(X)","2.1%","6.8%"
"Mahoning County, Ohio","","","","",""
"    Total","","","","",""
"        Estimate","18,353","2,689","162,557","3,969","9,664"
"    Percent","","","","",""
"        Estimate","(X)","14.7%","(X)","2.4%","5.9%"
"    Male","","","","",""
"        Estimate","9,443","1,352","78,186","2,093","4,917"
"    Percent Male","","","","",""
"        Estimate","(X)","14.3%","(X)","2.7%","6.3%"
"    Female","","","","",""
"        Estimate","8,910","1,337","84,371","1,876","4,747"
"    Percent Female","","","","",""
"        Estimate","(X)","15.0%","(X)","2.2%","5.6%"
"Marion County, Ohio","","","","",""
"    Total","","","","",""
"        Estimate","5,325","1,018","45,947","1,195","3,831"
"    Percent","","","","",""
"        Estimate","(X)","19.1%","(X)","2.6%","8.3%"
"    Male","","","","",""
"        Estimate","3,005","666","24,842","663","2,263"
"    Percent Male","","","","",""
"        Estimate","(X)","22.2%","(X)","2.7%","9.1%"
"    Female","","","","",""
"        Estimate","2,320","352","21,105","532","1,568"
"    Percent Female","","","","",""
"        Estimate","(X)","15.2%","(X)","2.5%","7.4%"
"Medina County, Ohio","","","","",""
"    Total","","","","",""
"        Estimate","13,653","1,709","129,741","1,945","5,163"
"    Percent","","","","",""
"        Estimate","(X)","12.5%","(X)","1.5%","4.0%"
"    Male","","","","",""
"        Estimate","7,171","1,137","63,608","1,025","2,845"
"    Percent Male","","","","",""
"        Estimate","(X)","15.9%","(X)","1.6%","4.5%"
"    Female","","","","",""
"        Estimate","6,482","572","66,133","920","2,318"
"    Percent Female","","","","",""
"        Estimate","(X)","8.8%","(X)","1.4%","3.5%"
"Meigs County, Ohio","","","","",""
"    Total","","","","",""
"        Estimate","1,651","203","15,830","673","1,425"
"    Percent","","","","",""
"        Estimate","(X)","12.3%","(X)","4.3%","9.0%"
"    Male","","","","",""
"        Estimate","876","158","7,749","368","772"
"    Percent Male","","","","",""
"        Estimate","(X)","18.0%","(X)","4.7%","10.0%"
"    Female","","","","",""
"        Estimate","775","45","8,081","305","653"
"    Percent Female","","","","",""
"        Estimate","(X)","5.8%","(X)","3.8%","8.1%"
"Mercer County, Ohio","","","","",""
"    Total","","","","",""
"        Estimate","3,381","435","27,956","241","1,251"
"    Percent","","","","",""
"        Estimate","(X)","12.9%","(X)","0.9%","4.5%"
"    Male","","","","",""
"        Estimate","1,810","329","13,926","132","705"
"    Percent Male","","","","",""
"        Estimate","(X)","18.2%","(X)","0.9%","5.1%"
"    Female","","","","",""
"        Estimate","1,571","106","14,030","109","546"
"    Percent Female","","","","",""
"        Estimate","(X)","6.7%","(X)","0.8%","3.9%"
"Miami County, Ohio","","","","",""
"    Total","","","","",""
"        Estimate","8,155","1,074","76,153","1,111","4,367"
"    Percent","","","","",""
"        Estimate","(X)","13.2%","(X)","1.5%","5.7%"
"    Male","","","","",""
"        Estimate","4,161","646","37,277","609","1,965"
"    Percent Male","","","","",""
"        Estimate","(X)","15.5%","(X)","1.6%","5.3%"
"    Female","","","","",""
"        Estimate","3,994","428","38,876","502","2,402"
"    Percent Female","","","","",""
"        Estimate","(X)","10.7%","(X)","1.3%","6.2%"
"Monroe County, Ohio","","","","",""
"    Total","","","","",""
"        Estimate","959","104","9,615","307","651"
"    Percent","","","","",""
"        Estimate","(X)","10.8%","(X)","3.2%","6.8%"
"    Male","","","","",""
"        Estimate","536","84","4,844","135","442"
"    Percent Male","","","","",""
"        Estimate","(X)","15.7%","(X)","2.8%","9.1%"
"    Female","","","","",""
"        Estimate","423","20","4,771","172","209"
"    Percent Female","","","","",""
"        Estimate","(X)","4.7%","(X)","3.6%","4.4%"
"Montgomery County, Ohio","","","","",""
"    Total","","","","",""
"        Estimate","48,498","5,154","367,919","8,661","20,471"
"    Percent","","","","",""
"        Estimate","(X)","10.6%","(X)","2.4%","5.6%"
"    Male","","","","",""
"        Estimate","24,531","2,755","173,973","4,426","10,007"
"    Percent Male","","","","",""
"        Estimate","(X)","11.2%","(X)","2.5%","5.8%"
"    Female","","","","",""
"        Estimate","23,967","2,399","193,946","4,235","10,464"
"    Percent Female","","","","",""
"        Estimate","(X)","10.0%","(X)","2.2%","5.4%"
"Morgan County, Ohio","","","","",""
"    Total","","","","",""
"        Estimate","985","92","9,857","274","856"
"    Percent","","","","",""
"        Estimate","(X)","9.3%","(X)","2.8%","8.7%"
"    Male","","","","",""
"        Estimate","539","26","4,873","100","509"
"    Percent Male","","","","",""
"        Estimate","(X)","4.8%","(X)","2.1%","10.4%"
"    Female","","","","",""
"        Estimate","446","66","4,984","174","347"
"    Percent Female","","","","",""
"        Estimate","(X)","14.8%","(X)","3.5%","7.0%"
"Morrow County, Ohio","","","","",""
"    Total","","","","",""
"        Estimate","2,534","518","24,907","784","1,360"
"    Percent","","","","",""
"        Estimate","(X)","20.4%","(X)","3.1%","5.5%"
"    Male","","","","",""
"        Estimate","1,343","322","12,427","399","806"
"    Percent Male","","","","",""
"        Estimate","(X)","24.0%","(X)","3.2%","6.5%"
"    Female","","","","",""
"        Estimate","1,191","196","12,480","385","554"
"    Percent Female","","","","",""
"        Estimate","(X)","16.5%","(X)","3.1%","4.4%"
"Muskingum County, Ohio","","","","",""
"    Total","","","","",""
"        Estimate","7,545","678","59,220","1,431","4,291"
"    Percent","","","","",""
"        Estimate","(X)","9.0%","(X)","2.4%","7.2%"
"    Male","","","","",""
"        Estimate","3,811","365","28,406","586","2,339"
"    Percent Male","","","","",""
"        Estimate","(X)","9.6%","(X)","2.1%","8.2%"
"    Female","","","","",""
"        Estimate","3,734","313","30,814","845","1,952"
"    Percent Female","","","","",""
"        Estimate","(X)","8.4%","(X)","2.7%","6.3%"
"Noble County, Ohio","","","","",""
"    Total","","","","",""
"        Estimate","717","107","10,927","374","1,228"
"    Percent","","","","",""
"        Estimate","(X)","14.9%","(X)","3.4%","11.2%"
"    Male","","","","",""
"        Estimate","340","107","6,963","223","926"
"    Percent Male","","","","",""
"        Estimate","(X)","31.5%","(X)","3.2%","13.3%"
"    Female","","","","",""
"        Estimate","377","0","3,964","151","302"
"    Percent Female","","","","",""
"        Estimate","(X)","0.0%","(X)","3.8%","7.6%"
"Ottawa County, Ohio","","","","",""
"    Total","","","","",""
"        Estimate","2,507","471","30,540","337","1,460"
"    Percent","","","","",""
"        Estimate","(X)","18.8%","(X)","1.1%","4.8%"
"    Male","","","","",""
"        Estimate","1,335","308","15,244","205","776"
"    Percent Male","","","","",""
"        Estimate","(X)","23.1%","(X)","1.3%","5.1%"
"    Female","","","","",""
"        Estimate","1,172","163","15,296","132","684"
"    Percent Female","","","","",""
"        Estimate","(X)","13.9%","(X)","0.9%","4.5%"
"Paulding County, Ohio","","","","",""
"    Total","","","","",""
"        Estimate","1,341","285","12,991","280","968"
"    Percent","","","","",""
"        Estimate","(X)","21.3%","(X)","2.2%","7.5%"
"    Male","","","","",""
"        Estimate","698","211","6,502","193","515"
"    Percent Male","","","","",""
"        Estimate","(X)","30.2%","(X)","3.0%","7.9%"
"    Female","","","","",""
"        Estimate","643","74","6,489","87","453"
"    Percent Female","","","","",""
"        Estimate","(X)","11.5%","(X)","1.3%","7.0%"
"Perry County, Ohio","","","","",""
"    Total","","","","",""
"        Estimate","2,544","332","24,557","482","2,403"
"    Percent","","","","",""
"        Estimate","(X)","13.1%","(X)","2.0%","9.8%"
"    Male","","","","",""
"        Estimate","1,327","208","12,238","291","1,305"
"    Percent Male","","","","",""
"        Estimate","(X)","15.7%","(X)","2.4%","10.7%"
"    Female","","","","",""
"        Estimate","1,217","124","12,319","191","1,098"
"    Percent Female","","","","",""
"        Estimate","(X)","10.2%","(X)","1.6%","8.9%"
"Pickaway County, Ohio","","","","",""
"    Total","","","","",""
"        Estimate","5,129","600","41,544","883","3,937"
"    Percent","","","","",""
"        Estimate","(X)","11.7%","(X)","2.1%","9.5%"
"    Male","","","","",""
"        Estimate","2,936","440","21,899","575","2,332"
"    Percent Male","","","","",""
"        Estimate","(X)","15.0%","(X)","2.6%","10.6%"
"    Female","","","","",""
"        Estimate","2,193","160","19,645","308","1,605"
"    Percent Female","","","","",""
"        Estimate","(X)","7.3%","(X)","1.6%","8.2%"
"Pike County, Ohio","","","","",""
"    Total","","","","",""
"        Estimate","2,093","424","18,589","615","2,061"
"    Percent","","","","",""
"        Estimate","(X)","20.3%","(X)","3.3%","11.1%"
"    Male","","","","",""
"        Estimate","1,142","234","9,030","264","1,020"
"    Percent Male","","","","",""
"        Estimate","(X)","20.5%","(X)","2.9%","11.3%"
"    Female","","","","",""
"        Estimate","951","190","9,559","351","1,041"
"    Percent Female","","","","",""
"        Estimate","(X)","20.0%","(X)","3.7%","10.9%"
"Portage County, Ohio","","","","",""
"    Total","","","","",""
"        Estimate","24,295","1,296","107,455","1,954","5,643"
"    Percent","","","","",""
"        Estimate","(X)","5.3%","(X)","1.8%","5.3%"
"    Male","","","","",""
"        Estimate","11,231","827","53,054","1,079","3,145"
"    Percent Male","","","","",""
"        Estimate","(X)","7.4%","(X)","2.0%","5.9%"
"    Female","","","","",""
"        Estimate","13,064","469","54,401","875","2,498"
"    Percent Female","","","","",""
"        Estimate","(X)","3.6%","(X)","1.6%","4.6%"
"Preble County, Ohio","","","","",""
"    Total","","","","",""
"        Estimate","3,015","313","28,663","461","1,650"
"    Percent","","","","",""
"        Estimate","(X)","10.4%","(X)","1.6%","5.8%"
"    Male","","","","",""
"        Estimate","1,566","210","14,020","284","867"
"    Percent Male","","","","",""
"        Estimate","(X)","13.4%","(X)","2.0%","6.2%"
"    Female","","","","",""
"        Estimate","1,449","103","14,643","177","783"
"    Percent Female","","","","",""
"        Estimate","(X)","7.1%","(X)","1.2%","5.3%"
"Putnam County, Ohio","","","","",""
"    Total","","","","",""
"        Estimate","2,602","540","23,012","444","785"
"    Percent","","","","",""
"        Estimate","(X)","20.8%","(X)","1.9%","3.4%"
"    Male","","","","",""
"        Estimate","1,372","404","11,483","240","456"
"    Percent Male","","","","",""
"        Estimate","(X)","29.4%","(X)","2.1%","4.0%"
"    Female","","","","",""
"        Estimate","1,230","136","11,529","204","329"
"    Percent Female","","","","",""
"        Estimate","(X)","11.1%","(X)","1.8%","2.9%"
"Richland County, Ohio","","","","",""
"    Total","","","","",""
"        Estimate","10,153","1,449","87,633","2,745","6,483"
"    Percent","","","","",""
"        Estimate","(X)","14.3%","(X)","3.1%","7.4%"
"    Male","","","","",""
"        Estimate","5,739","961","44,416","1,210","3,930"
"    Percent Male","","","","",""
"        Estimate","(X)","16.7%","(X)","2.7%","8.8%"
"    Female","","","","",""
"        Estimate","4,414","488","43,217","1,535","2,553"
"    Percent Female","","","","",""
"        Estimate","(X)","11.1%","(X)","3.6%","5.9%"
"Ross County, Ohio","","","","",""
"    Total","","","","",""
"        Estimate","5,806","1,100","54,654","1,597","4,466"
"    Percent","","","","",""
"        Estimate","(X)","18.9%","(X)","2.9%","8.2%"
"    Male","","","","",""
"        Estimate","3,087","623","28,676","881","2,822"
"    Percent Male","","","","",""
"        Estimate","(X)","20.2%","(X)","3.1%","9.8%"
"    Female","","","","",""
"        Estimate","2,719","477","25,978","716","1,644"
"    Percent Female","","","","",""
"        Estimate","(X)","17.5%","(X)","2.8%","6.3%"
"Sandusky County, Ohio","","","","",""
"    Total","","","","",""
"        Estimate","4,293","485","41,669","671","2,121"
"    Percent","","","","",""
"        Estimate","(X)","11.3%","(X)","1.6%","5.1%"
"    Male","","","","",""
"        Estimate","2,181","206","20,635","394","799"
"    Percent Male","","","","",""
"        Estimate","(X)","9.4%","(X)","1.9%","3.9%"
"    Female","","","","",""
"        Estimate","2,112","279","21,034","277","1,322"
"    Percent Female","","","","",""
"        Estimate","(X)","13.2%","(X)","1.3%","6.3%"
"Scioto County, Ohio","","","","",""
"    Total","","","","",""
"        Estimate","6,292","1,068","50,933","1,743","4,018"
"    Percent","","","","",""
"        Estimate","(X)","17.0%","(X)","3.4%","7.9%"
"    Male","","","","",""
"        Estimate","3,420","666","24,774","918","2,374"
"    Percent Male","","","","",""
"        Estimate","(X)","19.5%","(X)","3.7%","9.6%"
"    Female","","","","",""
"        Estimate","2,872","402","26,159","825","1,644"
"    Percent Female","","","","",""
"        Estimate","(X)","14.0%","(X)","3.2%","6.3%"
"Seneca County, Ohio","","","","",""
"    Total","","","","",""
"        Estimate","5,938","526","37,060","462","2,043"
"    Percent","","","","",""
"        Estimate","(X)","8.9%","(X)","1.2%","5.5%"
"    Male","","","","",""
"        Estimate","3,067","298","18,455","244","1,144"
"    Percent Male","","","","",""
"        Estimate","(X)","9.7%","(X)","1.3%","6.2%"
"    Female","","","","",""
"        Estimate","2,871","228","18,605","218","899"
"    Percent Female","","","","",""
"        Estimate","(X)","7.9%","(X)","1.2%","4.8%"
"Shelby County, Ohio","","","","",""
"    Total","","","","",""
"        Estimate","4,038","668","32,127","573","2,197"
"    Percent","","","","",""
"        Estimate","(X)","16.5%","(X)","1.8%","6.8%"
"    Male","","","","",""
"        Estimate","2,105","351","15,922","350","1,047"
"    Percent Male","","","","",""
"        Estimate","(X)","16.7%","(X)","2.2%","6.6%"
"    Female","","","","",""
"        Estimate","1,933","317","16,205","223","1,150"
"    Percent Female","","","","",""
"        Estimate","(X)","16.4%","(X)","1.4%","7.1%"
"Stark County, Ohio","","","","",""
"    Total","","","","",""
"        Estimate","30,765","3,598","262,124","4,975","13,935"
"    Percent","","","","",""
"        Estimate","(X)","11.7%","(X)","1.9%","5.3%"
"    Male","","","","",""
"        Estimate","15,640","2,023","125,644","2,597","7,357"
"    Percent Male","","","","",""
"        Estimate","(X)","12.9%","(X)","2.1%","5.9%"
"    Female","","","","",""
"        Estimate","15,125","1,575","136,480","2,378","6,578"
"    Percent Female","","","","",""
"        Estimate","(X)","10.4%","(X)","1.7%","4.8%"
"Summit County, Ohio","","","","",""
"    Total","","","","",""
"        Estimate","43,398","5,198","382,643","9,085","18,126"
"    Percent","","","","",""
"        Estimate","(X)","12.0%","(X)","2.4%","4.7%"
"    Male","","","","",""
"        Estimate","22,104","2,774","183,084","4,291","9,516"
"    Percent Male","","","","",""
"        Estimate","(X)","12.5%","(X)","2.3%","5.2%"
"    Female","","","","",""
"        Estimate","21,294","2,424","199,559","4,794","8,610"
"    Percent Female","","","","",""
"        Estimate","(X)","11.4%","(X)","2.4%","4.3%"
"Trumbull County, Ohio","","","","",""
"    Total","","","","",""
"        Estimate","15,436","3,038","144,401","4,964","9,443"
"    Percent","","","","",""
"        Estimate","(X)","19.7%","(X)","3.4%","6.5%"
"    Male","","","","",""
"        Estimate","7,930","1,547","69,777","2,540","5,272"
"    Percent Male","","","","",""
"        Estimate","(X)","19.5%","(X)","3.6%","7.6%"
"    Female","","","","",""
"        Estimate","7,506","1,491","74,624","2,424","4,171"
"    Percent Female","","","","",""
"        Estimate","(X)","19.9%","(X)","3.2%","5.6%"
"Tuscarawas County, Ohio","","","","",""
"    Total","","","","",""
"        Estimate","7,118","1,513","63,945","3,119","3,963"
"    Percent","","","","",""
"        Estimate","(X)","21.3%","(X)","4.9%","6.2%"
"    Male","","","","",""
"        Estimate","3,711","789","31,530","1,714","2,164"
"    Percent Male","","","","",""
"        Estimate","(X)","21.3%","(X)","5.4%","6.9%"
"    Female","","","","",""
"        Estimate","3,407","724","32,415","1,405","1,799"
"    Percent Female","","","","",""
"        Estimate","(X)","21.3%","(X)","4.3%","5.5%"
"Union County, Ohio","","","","",""
"    Total","","","","",""
"        Estimate","4,955","865","44,491","442","1,682"
"    Percent","","","","",""
"        Estimate","(X)","17.5%","(X)","1.0%","3.8%"
"    Male","","","","",""
"        Estimate","2,393","401","21,134","211","661"
"    Percent Male","","","","",""
"        Estimate","(X)","16.8%","(X)","1.0%","3.1%"
"    Female","","","","",""
"        Estimate","2,562","464","23,357","231","1,021"
"    Percent Female","","","","",""
"        Estimate","(X)","18.1%","(X)","1.0%","4.4%"
"Van Wert County, Ohio","","","","",""
"    Total","","","","",""
"        Estimate","2,185","305","19,957","293","993"
"    Percent","","","","",""
"        Estimate","(X)","14.0%","(X)","1.5%","5.0%"
"    Male","","","","",""
"        Estimate","1,105","188","9,798","185","369"
"    Percent Male","","","","",""
"        Estimate","(X)","17.0%","(X)","1.9%","3.8%"
"    Female","","","","",""
"        Estimate","1,080","117","10,159","108","624"
"    Percent Female","","","","",""
"        Estimate","(X)","10.8%","(X)","1.1%","6.1%"
"Vinton County, Ohio","","","","",""
"    Total","","","","",""
"        Estimate","971","145","8,956","277","1,236"
"    Percent","","","","",""
"        Estimate","(X)","14.9%","(X)","3.1%","13.8%"
"    Male","","","","",""
"        Estimate","477","88","4,450","132","604"
"    Percent Male","","","","",""
"        Estimate","(X)","18.4%","(X)","3.0%","13.6%"
"    Female","","","","",""
"        Estimate","494","57","4,506","145","632"
"    Percent Female","","","","",""
"        Estimate","(X)","11.5%","(X)","3.2%","14.0%"
"Warren County, Ohio","","","","",""
"    Total","","","","",""
"        Estimate","19,426","3,165","167,733","2,737","5,606"
"    Percent","","","","",""
"        Estimate","(X)","16.3%","(X)","1.6%","3.3%"
"    Male","","","","",""
"        Estimate","10,484","1,998","83,726","1,568","3,298"
"    Percent Male","","","","",""
"        Estimate","(X)","19.1%","(X)","1.9%","3.9%"
"    Female","","","","",""
"        Estimate","8,942","1,167","84,007","1,169","2,308"
"    Percent Female","","","","",""
"        Estimate","(X)","13.1%","(X)","1.4%","2.7%"
"Washington County, Ohio","","","","",""
"    Total","","","","",""
"        Estimate","4,949","587","42,579","629","2,376"
"    Percent","","","","",""
"        Estimate","(X)","11.9%","(X)","1.5%","5.6%"
"    Male","","","","",""
"        Estimate","2,595","344","20,849","352","1,292"
"    Percent Male","","","","",""
"        Estimate","(X)","13.3%","(X)","1.7%","6.2%"
"    Female","","","","",""
"        Estimate","2,354","243","21,730","277","1,084"
"    Percent Female","","","","",""
"        Estimate","(X)","10.3%","(X)","1.3%","5.0%"
"Wayne County, Ohio","","","","",""
"    Total","","","","",""
"        Estimate","11,683","2,274","76,835","6,579","3,940"
"    Percent","","","","",""
"        Estimate","(X)","19.5%","(X)","8.6%","5.1%"
"    Male","","","","",""
"        Estimate","6,075","1,190","37,679","3,345","1,990"
"    Percent Male","","","","",""
"        Estimate","(X)","19.6%","(X)","8.9%","5.3%"
"    Female","","","","",""
"        Estimate","5,608","1,084","39,156","3,234","1,950"
"    Percent Female","","","","",""
"        Estimate","(X)","19.3%","(X)","8.3%","5.0%"
"Williams County, Ohio","","","","",""
"    Total","","","","",""
"        Estimate","2,779","383","25,867","389","1,836"
"    Percent","","","","",""
"        Estimate","(X)","13.8%","(X)","1.5%","7.1%"
"    Male","","","","",""
"        Estimate","1,467","233","12,839","244","947"
"    Percent Male","","","","",""
"        Estimate","(X)","15.9%","(X)","1.9%","7.4%"
"    Female","","","","",""
"        Estimate","1,312","150","13,028","145","889"
"    Percent Female","","","","",""
"        Estimate","(X)","11.4%","(X)","1.1%","6.8%"
"Wood County, Ohio","","","","",""
"    Total","","","","",""
"        Estimate","21,580","1,380","83,333","1,138","2,883"
"    Percent","","","","",""
"        Estimate","(X)","6.4%","(X)","1.4%","3.5%"
"    Male","","","","",""
"        Estimate","10,490","845","41,145","610","1,359"
"    Percent Male","","","","",""
"        Estimate","(X)","8.1%","(X)","1.5%","3.3%"
"    Female","","","","",""
"        Estimate","11,090","535","42,188","528","1,524"
"    Percent Female","","","","",""
"        Estimate","(X)","4.8%","(X)","1.3%","3.6%"
"Wyandot County, Ohio","","","","",""
"    Total","","","","",""
"        Estimate","1,546","262","15,240","167","623"
"    Percent","","","","",""
"        Estimate","(X)","16.9%","(X)","1.1%","4.1%"
"    Male","","","","",""
"        Estimate","834","127","7,379","78","370"
"    Percent Male","","","","",""
"        Estimate","(X)","15.2%","(X)","1.1%","5.0%"
"    Female","","","","",""
"        Estimate","712","135","7,861","89","253"
"    Percent Female","","","","",""
"        Estimate","(X)","19.0%","(X)","1.1%","3.2%"
"Adair County, Oklahoma","","","","",""
"    Total","","","","",""
"        Estimate","1,646","226","12,777","623","1,570"
"    Percent","","","","",""
"        Estimate","(X)","13.7%","(X)","4.9%","12.3%"
"    Male","","","","",""
"        Estimate","875","105","6,272","372","797"
"    Percent Male","","","","",""
"        Estimate","(X)","12.0%","(X)","5.9%","12.7%"
"    Female","","","","",""
"        Estimate","771","121","6,505","251","773"
"    Percent Female","","","","",""
"        Estimate","(X)","15.7%","(X)","3.9%","11.9%"
"Alfalfa County, Oklahoma","","","","",""
"    Total","","","","",""
"        Estimate","256","55","4,342","147","468"
"    Percent","","","","",""
"        Estimate","(X)","21.5%","(X)","3.4%","10.8%"
"    Male","","","","",""
"        Estimate","132","36","2,863","115","373"
"    Percent Male","","","","",""
"        Estimate","(X)","27.3%","(X)","4.0%","13.0%"
"    Female","","","","",""
"        Estimate","124","19","1,479","32","95"
"    Percent Female","","","","",""
"        Estimate","(X)","15.3%","(X)","2.2%","6.4%"
"Atoka County, Oklahoma","","","","",""
"    Total","","","","",""
"        Estimate","1,044","262","10,133","339","1,319"
"    Percent","","","","",""
"        Estimate","(X)","25.1%","(X)","3.3%","13.0%"
"    Male","","","","",""
"        Estimate","617","166","5,596","204","894"
"    Percent Male","","","","",""
"        Estimate","(X)","26.9%","(X)","3.6%","16.0%"
"    Female","","","","",""
"        Estimate","427","96","4,537","135","425"
"    Percent Female","","","","",""
"        Estimate","(X)","22.5%","(X)","3.0%","9.4%"
"Beaver County, Oklahoma","","","","",""
"    Total","","","","",""
"        Estimate","410","170","3,356","301","199"
"    Percent","","","","",""
"        Estimate","(X)","41.5%","(X)","9.0%","5.9%"
"    Male","","","","",""
"        Estimate","173","77","1,720","185","121"
"    Percent Male","","","","",""
"        Estimate","(X)","44.5%","(X)","10.8%","7.0%"
"    Female","","","","",""
"        Estimate","237","93","1,636","116","78"
"    Percent Female","","","","",""
"        Estimate","(X)","39.2%","(X)","7.1%","4.8%"
"Beckham County, Oklahoma","","","","",""
"    Total","","","","",""
"        Estimate","1,816","311","15,133","654","1,720"
"    Percent","","","","",""
"        Estimate","(X)","17.1%","(X)","4.3%","11.4%"
"    Male","","","","",""
"        Estimate","1,244","291","8,625","333","1,107"
"    Percent Male","","","","",""
"        Estimate","(X)","23.4%","(X)","3.9%","12.8%"
"    Female","","","","",""
"        Estimate","572","20","6,508","321","613"
"    Percent Female","","","","",""
"        Estimate","(X)","3.5%","(X)","4.9%","9.4%"
"Blaine County, Oklahoma","","","","",""
"    Total","","","","",""
"        Estimate","507","92","6,005","357","564"
"    Percent","","","","",""
"        Estimate","(X)","18.1%","(X)","5.9%","9.4%"
"    Male","","","","",""
"        Estimate","272","77","3,151","264","364"
"    Percent Male","","","","",""
"        Estimate","(X)","28.3%","(X)","8.4%","11.6%"
"    Female","","","","",""
"        Estimate","235","15","2,854","93","200"
"    Percent Female","","","","",""
"        Estimate","(X)","6.4%","(X)","3.3%","7.0%"
"Bryan County, Oklahoma","","","","",""
"    Total","","","","",""
"        Estimate","4,628","690","31,483","1,247","2,643"
"    Percent","","","","",""
"        Estimate","(X)","14.9%","(X)","4.0%","8.4%"
"    Male","","","","",""
"        Estimate","2,378","336","15,056","578","1,285"
"    Percent Male","","","","",""
"        Estimate","(X)","14.1%","(X)","3.8%","8.5%"
"    Female","","","","",""
"        Estimate","2,250","354","16,427","669","1,358"
"    Percent Female","","","","",""
"        Estimate","(X)","15.7%","(X)","4.1%","8.3%"
"Caddo County, Oklahoma","","","","",""
"    Total","","","","",""
"        Estimate","2,292","576","18,165","813","1,596"
"    Percent","","","","",""
"        Estimate","(X)","25.1%","(X)","4.5%","8.8%"
"    Male","","","","",""
"        Estimate","1,444","403","10,420","580","1,046"
"    Percent Male","","","","",""
"        Estimate","(X)","27.9%","(X)","5.6%","10.0%"
"    Female","","","","",""
"        Estimate","848","173","7,745","233","550"
"    Percent Female","","","","",""
"        Estimate","(X)","20.4%","(X)","3.0%","7.1%"
"Canadian County, Oklahoma","","","","",""
"    Total","","","","",""
"        Estimate","12,683","2,135","107,833","2,983","5,465"
"    Percent","","","","",""
"        Estimate","(X)","16.8%","(X)","2.8%","5.1%"
"    Male","","","","",""
"        Estimate","6,375","1,220","52,999","1,410","3,107"
"    Percent Male","","","","",""
"        Estimate","(X)","19.1%","(X)","2.7%","5.9%"
"    Female","","","","",""
"        Estimate","6,308","915","54,834","1,573","2,358"
"    Percent Female","","","","",""
"        Estimate","(X)","14.5%","(X)","2.9%","4.3%"
"Carter County, Oklahoma","","","","",""
"    Total","","","","",""
"        Estimate","3,856","750","32,280","994","2,942"
"    Percent","","","","",""
"        Estimate","(X)","19.5%","(X)","3.1%","9.1%"
"    Male","","","","",""
"        Estimate","1,976","467","15,395","353","1,603"
"    Percent Male","","","","",""
"        Estimate","(X)","23.6%","(X)","2.3%","10.4%"
"    Female","","","","",""
"        Estimate","1,880","283","16,885","641","1,339"
"    Percent Female","","","","",""
"        Estimate","(X)","15.1%","(X)","3.8%","7.9%"
"Cherokee County, Oklahoma","","","","",""
"    Total","","","","",""
"        Estimate","6,894","828","30,632","861","2,229"
"    Percent","","","","",""
"        Estimate","(X)","12.0%","(X)","2.8%","7.3%"
"    Male","","","","",""
"        Estimate","3,389","464","14,791","588","1,255"
"    Percent Male","","","","",""
"        Estimate","(X)","13.7%","(X)","4.0%","8.5%"
"    Female","","","","",""
"        Estimate","3,505","364","15,841","273","974"
"    Percent Female","","","","",""
"        Estimate","(X)","10.4%","(X)","1.7%","6.1%"
"Choctaw County, Oklahoma","","","","",""
"    Total","","","","",""
"        Estimate","1,055","243","9,717","428","903"
"    Percent","","","","",""
"        Estimate","(X)","23.0%","(X)","4.4%","9.3%"
"    Male","","","","",""
"        Estimate","506","143","4,595","297","461"
"    Percent Male","","","","",""
"        Estimate","(X)","28.3%","(X)","6.5%","10.0%"
"    Female","","","","",""
"        Estimate","549","100","5,122","131","442"
"    Percent Female","","","","",""
"        Estimate","(X)","18.2%","(X)","2.6%","8.6%"
"Cimarron County, Oklahoma","","","","",""
"    Total","","","","",""
"        Estimate","159","24","1,535","96","130"
"    Percent","","","","",""
"        Estimate","(X)","15.1%","(X)","6.3%","8.5%"
"    Male","","","","",""
"        Estimate","100","17","754","44","67"
"    Percent Male","","","","",""
"        Estimate","(X)","17.0%","(X)","5.8%","8.9%"
"    Female","","","","",""
"        Estimate","59","7","781","52","63"
"    Percent Female","","","","",""
"        Estimate","(X)","11.9%","(X)","6.7%","8.1%"
"Cleveland County, Oklahoma","","","","",""
"    Total","","","","",""
"        Estimate","44,587","3,570","191,179","4,392","10,384"
"    Percent","","","","",""
"        Estimate","(X)","8.0%","(X)","2.3%","5.4%"
"    Male","","","","",""
"        Estimate","22,679","2,259","94,272","2,151","5,053"
"    Percent Male","","","","",""
"        Estimate","(X)","10.0%","(X)","2.3%","5.4%"
"    Female","","","","",""
"        Estimate","21,908","1,311","96,907","2,241","5,331"
"    Percent Female","","","","",""
"        Estimate","(X)","6.0%","(X)","2.3%","5.5%"
"Coal County, Oklahoma","","","","",""
"    Total","","","","",""
"        Estimate","442","70","3,565","172","385"
"    Percent","","","","",""
"        Estimate","(X)","15.8%","(X)","4.8%","10.8%"
"    Male","","","","",""
