"Label (Grouping)","Population 1 year and over"
"    Moved; from different  state",""
"        Estimate","2.8%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.8%"
"        Margin of Error","±0.4"
"Brown County, Minnesota",""
"    Total",""
"        Estimate","24,846"
"        Margin of Error","±66"
"    Moved; within same county",""
"        Estimate","5.0%"
"        Margin of Error","±1.3"
"    Moved; from different county, same state",""
"        Estimate","2.2%"
"        Margin of Error","±0.8"
"    Moved; from different  state",""
"        Estimate","1.7%"
"        Margin of Error","±0.7"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Carlton County, Minnesota",""
"    Total",""
"        Estimate","35,348"
"        Margin of Error","±59"
"    Moved; within same county",""
"        Estimate","4.2%"
"        Margin of Error","±1.0"
"    Moved; from different county, same state",""
"        Estimate","4.5%"
"        Margin of Error","±0.9"
"    Moved; from different  state",""
"        Estimate","0.9%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.1"
"Carver County, Minnesota",""
"    Total",""
"        Estimate","100,821"
"        Margin of Error","±207"
"    Moved; within same county",""
"        Estimate","4.0%"
"        Margin of Error","±0.7"
"    Moved; from different county, same state",""
"        Estimate","5.3%"
"        Margin of Error","±0.7"
"    Moved; from different  state",""
"        Estimate","1.2%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.1"
"Cass County, Minnesota",""
"    Total",""
"        Estimate","28,940"
"        Margin of Error","±45"
"    Moved; within same county",""
"        Estimate","4.8%"
"        Margin of Error","±0.8"
"    Moved; from different county, same state",""
"        Estimate","5.3%"
"        Margin of Error","±0.7"
"    Moved; from different  state",""
"        Estimate","1.0%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Chippewa County, Minnesota",""
"    Total",""
"        Estimate","11,756"
"        Margin of Error","±73"
"    Moved; within same county",""
"        Estimate","6.9%"
"        Margin of Error","±2.0"
"    Moved; from different county, same state",""
"        Estimate","4.5%"
"        Margin of Error","±1.3"
"    Moved; from different  state",""
"        Estimate","2.2%"
"        Margin of Error","±1.0"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Chisago County, Minnesota",""
"    Total",""
"        Estimate","54,841"
"        Margin of Error","±98"
"    Moved; within same county",""
"        Estimate","5.0%"
"        Margin of Error","±1.0"
"    Moved; from different county, same state",""
"        Estimate","7.0%"
"        Margin of Error","±1.0"
"    Moved; from different  state",""
"        Estimate","1.1%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Clay County, Minnesota",""
"    Total",""
"        Estimate","62,486"
"        Margin of Error","±179"
"    Moved; within same county",""
"        Estimate","6.7%"
"        Margin of Error","±1.0"
"    Moved; from different county, same state",""
"        Estimate","3.6%"
"        Margin of Error","±0.6"
"    Moved; from different  state",""
"        Estimate","5.7%"
"        Margin of Error","±0.9"
"    Moved; from abroad",""
"        Estimate","0.4%"
"        Margin of Error","±0.2"
"Clearwater County, Minnesota",""
"    Total",""
"        Estimate","8,715"
"        Margin of Error","±25"
"    Moved; within same county",""
"        Estimate","5.8%"
"        Margin of Error","±1.5"
"    Moved; from different county, same state",""
"        Estimate","3.8%"
"        Margin of Error","±1.1"
"    Moved; from different  state",""
"        Estimate","1.2%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.3"
"Cook County, Minnesota",""
"    Total",""
"        Estimate","5,350"
"        Margin of Error","±14"
"    Moved; within same county",""
"        Estimate","8.9%"
"        Margin of Error","±2.4"
"    Moved; from different county, same state",""
"        Estimate","2.7%"
"        Margin of Error","±1.2"
"    Moved; from different  state",""
"        Estimate","2.1%"
"        Margin of Error","±1.2"
"    Moved; from abroad",""
"        Estimate","0.6%"
"        Margin of Error","±0.4"
"Cottonwood County, Minnesota",""
"    Total",""
"        Estimate","11,096"
"        Margin of Error","±56"
"    Moved; within same county",""
"        Estimate","3.9%"
"        Margin of Error","±1.1"
"    Moved; from different county, same state",""
"        Estimate","3.6%"
"        Margin of Error","±1.0"
"    Moved; from different  state",""
"        Estimate","2.5%"
"        Margin of Error","±1.2"
"    Moved; from abroad",""
"        Estimate","0.6%"
"        Margin of Error","±0.6"
"Crow Wing County, Minnesota",""
"    Total",""
"        Estimate","63,639"
"        Margin of Error","±115"
"    Moved; within same county",""
"        Estimate","6.7%"
"        Margin of Error","±0.9"
"    Moved; from different county, same state",""
"        Estimate","3.8%"
"        Margin of Error","±0.6"
"    Moved; from different  state",""
"        Estimate","1.7%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Dakota County, Minnesota",""
"    Total",""
"        Estimate","416,511"
"        Margin of Error","±391"
"    Moved; within same county",""
"        Estimate","6.4%"
"        Margin of Error","±0.4"
"    Moved; from different county, same state",""
"        Estimate","4.5%"
"        Margin of Error","±0.4"
"    Moved; from different  state",""
"        Estimate","1.7%"
"        Margin of Error","±0.2"
"    Moved; from abroad",""
"        Estimate","0.5%"
"        Margin of Error","±0.1"
"Dodge County, Minnesota",""
"    Total",""
"        Estimate","20,448"
"        Margin of Error","±70"
"    Moved; within same county",""
"        Estimate","6.3%"
"        Margin of Error","±1.8"
"    Moved; from different county, same state",""
"        Estimate","5.2%"
"        Margin of Error","±1.0"
"    Moved; from different  state",""
"        Estimate","1.0%"
"        Margin of Error","±0.2"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.1"
"Douglas County, Minnesota",""
"    Total",""
"        Estimate","37,065"
"        Margin of Error","±81"
"    Moved; within same county",""
"        Estimate","6.6%"
"        Margin of Error","±1.2"
"    Moved; from different county, same state",""
"        Estimate","4.4%"
"        Margin of Error","±1.2"
"    Moved; from different  state",""
"        Estimate","1.2%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.2"
"Faribault County, Minnesota",""
"    Total",""
"        Estimate","13,648"
"        Margin of Error","±34"
"    Moved; within same county",""
"        Estimate","4.5%"
"        Margin of Error","±0.8"
"    Moved; from different county, same state",""
"        Estimate","3.8%"
"        Margin of Error","±1.0"
"    Moved; from different  state",""
"        Estimate","0.6%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.1"
"Fillmore County, Minnesota",""
"    Total",""
"        Estimate","20,726"
"        Margin of Error","±35"
"    Moved; within same county",""
"        Estimate","5.3%"
"        Margin of Error","±0.9"
"    Moved; from different county, same state",""
"        Estimate","2.5%"
"        Margin of Error","±0.5"
"    Moved; from different  state",""
"        Estimate","1.3%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.4%"
"        Margin of Error","±0.1"
"Freeborn County, Minnesota",""
"    Total",""
"        Estimate","30,243"
"        Margin of Error","±69"
"    Moved; within same county",""
"        Estimate","6.9%"
"        Margin of Error","±1.3"
"    Moved; from different county, same state",""
"        Estimate","2.8%"
"        Margin of Error","±0.5"
"    Moved; from different  state",""
"        Estimate","1.1%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.4%"
"        Margin of Error","±0.2"
"Goodhue County, Minnesota",""
"    Total",""
"        Estimate","45,654"
"        Margin of Error","±112"
"    Moved; within same county",""
"        Estimate","6.8%"
"        Margin of Error","±1.6"
"    Moved; from different county, same state",""
"        Estimate","4.4%"
"        Margin of Error","±0.6"
"    Moved; from different  state",""
"        Estimate","1.9%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.1"
"Grant County, Minnesota",""
"    Total",""
"        Estimate","5,873"
"        Margin of Error","±24"
"    Moved; within same county",""
"        Estimate","5.5%"
"        Margin of Error","±1.3"
"    Moved; from different county, same state",""
"        Estimate","4.5%"
"        Margin of Error","±1.0"
"    Moved; from different  state",""
"        Estimate","1.3%"
"        Margin of Error","±0.8"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Hennepin County, Minnesota",""
"    Total",""
"        Estimate","1,229,939"
"        Margin of Error","±627"
"    Moved; within same county",""
"        Estimate","9.9%"
"        Margin of Error","±0.3"
"    Moved; from different county, same state",""
"        Estimate","3.4%"
"        Margin of Error","±0.2"
"    Moved; from different  state",""
"        Estimate","2.6%"
"        Margin of Error","±0.2"
"    Moved; from abroad",""
"        Estimate","0.8%"
"        Margin of Error","±0.1"
"Houston County, Minnesota",""
"    Total",""
"        Estimate","18,537"
"        Margin of Error","±26"
"    Moved; within same county",""
"        Estimate","6.6%"
"        Margin of Error","±1.3"
"    Moved; from different county, same state",""
"        Estimate","1.8%"
"        Margin of Error","±0.6"
"    Moved; from different  state",""
"        Estimate","2.0%"
"        Margin of Error","±0.7"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Hubbard County, Minnesota",""
"    Total",""
"        Estimate","20,808"
"        Margin of Error","±49"
"    Moved; within same county",""
"        Estimate","5.6%"
"        Margin of Error","±1.3"
"    Moved; from different county, same state",""
"        Estimate","4.9%"
"        Margin of Error","±0.8"
"    Moved; from different  state",""
"        Estimate","2.1%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.2"
"Isanti County, Minnesota",""
"    Total",""
"        Estimate","38,949"
"        Margin of Error","±104"
"    Moved; within same county",""
"        Estimate","5.6%"
"        Margin of Error","±1.2"
"    Moved; from different county, same state",""
"        Estimate","7.4%"
"        Margin of Error","±1.5"
"    Moved; from different  state",""
"        Estimate","1.2%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Itasca County, Minnesota",""
"    Total",""
"        Estimate","44,717"
"        Margin of Error","±85"
"    Moved; within same county",""
"        Estimate","5.5%"
"        Margin of Error","±1.0"
"    Moved; from different county, same state",""
"        Estimate","3.6%"
"        Margin of Error","±0.7"
"    Moved; from different  state",""
"        Estimate","0.8%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Jackson County, Minnesota",""
"    Total",""
"        Estimate","9,833"
"        Margin of Error","±37"
"    Moved; within same county",""
"        Estimate","6.2%"
"        Margin of Error","±1.9"
"    Moved; from different county, same state",""
"        Estimate","3.7%"
"        Margin of Error","±1.0"
"    Moved; from different  state",""
"        Estimate","1.7%"
"        Margin of Error","±0.7"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.2"
"Kanabec County, Minnesota",""
"    Total",""
"        Estimate","15,957"
"        Margin of Error","±41"
"    Moved; within same county",""
"        Estimate","4.7%"
"        Margin of Error","±1.2"
"    Moved; from different county, same state",""
"        Estimate","4.7%"
"        Margin of Error","±0.9"
"    Moved; from different  state",""
"        Estimate","0.6%"
"        Margin of Error","±0.2"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Kandiyohi County, Minnesota",""
"    Total",""
"        Estimate","42,195"
"        Margin of Error","±107"
"    Moved; within same county",""
"        Estimate","7.4%"
"        Margin of Error","±1.3"
"    Moved; from different county, same state",""
"        Estimate","2.8%"
"        Margin of Error","±0.4"
"    Moved; from different  state",""
"        Estimate","1.7%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.1"
"Kittson County, Minnesota",""
"    Total",""
"        Estimate","4,260"
"        Margin of Error","±14"
"    Moved; within same county",""
"        Estimate","5.0%"
"        Margin of Error","±2.3"
"    Moved; from different county, same state",""
"        Estimate","3.0%"
"        Margin of Error","±1.3"
"    Moved; from different  state",""
"        Estimate","2.4%"
"        Margin of Error","±1.0"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.5"
"Koochiching County, Minnesota",""
"    Total",""
"        Estimate","12,405"
"        Margin of Error","±69"
"    Moved; within same county",""
"        Estimate","3.8%"
"        Margin of Error","±1.1"
"    Moved; from different county, same state",""
"        Estimate","2.0%"
"        Margin of Error","±0.7"
"    Moved; from different  state",""
"        Estimate","2.8%"
"        Margin of Error","±1.4"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.2"
"Lac qui Parle County, Minnesota",""
"    Total",""
"        Estimate","6,670"
"        Margin of Error","±18"
"    Moved; within same county",""
"        Estimate","6.2%"
"        Margin of Error","±1.7"
"    Moved; from different county, same state",""
"        Estimate","2.5%"
"        Margin of Error","±0.7"
"    Moved; from different  state",""
"        Estimate","1.6%"
"        Margin of Error","±0.9"
"    Moved; from abroad",""
"        Estimate","0.7%"
"        Margin of Error","±0.7"
"Lake County, Minnesota",""
"    Total",""
"        Estimate","10,440"
"        Margin of Error","±43"
"    Moved; within same county",""
"        Estimate","5.3%"
"        Margin of Error","±2.1"
"    Moved; from different county, same state",""
"        Estimate","3.4%"
"        Margin of Error","±1.4"
"    Moved; from different  state",""
"        Estimate","1.2%"
"        Margin of Error","±0.8"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Lake of the Woods County, Minnesota",""
"    Total",""
"        Estimate","3,733"
"        Margin of Error","±41"
"    Moved; within same county",""
"        Estimate","7.0%"
"        Margin of Error","±2.9"
"    Moved; from different county, same state",""
"        Estimate","1.6%"
"        Margin of Error","±1.4"
"    Moved; from different  state",""
"        Estimate","2.4%"
"        Margin of Error","±1.7"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.5"
"Le Sueur County, Minnesota",""
"    Total",""
"        Estimate","27,835"
"        Margin of Error","±97"
"    Moved; within same county",""
"        Estimate","5.5%"
"        Margin of Error","±1.4"
"    Moved; from different county, same state",""
"        Estimate","4.8%"
"        Margin of Error","±0.7"
"    Moved; from different  state",""
"        Estimate","1.6%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.4%"
"        Margin of Error","±0.3"
"Lincoln County, Minnesota",""
"    Total",""
"        Estimate","5,605"
"        Margin of Error","±21"
"    Moved; within same county",""
"        Estimate","6.4%"
"        Margin of Error","±1.6"
"    Moved; from different county, same state",""
"        Estimate","4.2%"
"        Margin of Error","±1.4"
"    Moved; from different  state",""
"        Estimate","2.9%"
"        Margin of Error","±1.0"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.2"
"Lyon County, Minnesota",""
"    Total",""
"        Estimate","25,387"
"        Margin of Error","±104"
"    Moved; within same county",""
"        Estimate","6.8%"
"        Margin of Error","±1.2"
"    Moved; from different county, same state",""
"        Estimate","4.3%"
"        Margin of Error","±1.2"
"    Moved; from different  state",""
"        Estimate","2.6%"
"        Margin of Error","±1.0"
"    Moved; from abroad",""
"        Estimate","0.7%"
"        Margin of Error","±0.6"
"McLeod County, Minnesota",""
"    Total",""
"        Estimate","35,441"
"        Margin of Error","±107"
"    Moved; within same county",""
"        Estimate","5.7%"
"        Margin of Error","±1.2"
"    Moved; from different county, same state",""
"        Estimate","4.0%"
"        Margin of Error","±0.9"
"    Moved; from different  state",""
"        Estimate","0.9%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Mahnomen County, Minnesota",""
"    Total",""
"        Estimate","5,393"
"        Margin of Error","±25"
"    Moved; within same county",""
"        Estimate","5.3%"
"        Margin of Error","±1.0"
"    Moved; from different county, same state",""
"        Estimate","3.8%"
"        Margin of Error","±0.8"
"    Moved; from different  state",""
"        Estimate","1.5%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Marshall County, Minnesota",""
"    Total",""
"        Estimate","9,249"
"        Margin of Error","±22"
"    Moved; within same county",""
"        Estimate","3.6%"
"        Margin of Error","±0.9"
"    Moved; from different county, same state",""
"        Estimate","3.3%"
"        Margin of Error","±0.9"
"    Moved; from different  state",""
"        Estimate","1.1%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.1"
"Martin County, Minnesota",""
"    Total",""
"        Estimate","19,628"
"        Margin of Error","±61"
"    Moved; within same county",""
"        Estimate","5.9%"
"        Margin of Error","±1.5"
"    Moved; from different county, same state",""
"        Estimate","2.6%"
"        Margin of Error","±1.0"
"    Moved; from different  state",""
"        Estimate","2.9%"
"        Margin of Error","±1.3"
"    Moved; from abroad",""
"        Estimate","0.4%"
"        Margin of Error","±0.3"
"Meeker County, Minnesota",""
"    Total",""
"        Estimate","22,770"
"        Margin of Error","±62"
"    Moved; within same county",""
"        Estimate","3.9%"
"        Margin of Error","±1.0"
"    Moved; from different county, same state",""
"        Estimate","4.8%"
"        Margin of Error","±0.7"
"    Moved; from different  state",""
"        Estimate","0.6%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.7%"
"        Margin of Error","±0.6"
"Mille Lacs County, Minnesota",""
"    Total",""
"        Estimate","25,582"
"        Margin of Error","±75"
"    Moved; within same county",""
"        Estimate","5.5%"
"        Margin of Error","±0.9"
"    Moved; from different county, same state",""
"        Estimate","6.5%"
"        Margin of Error","±1.3"
"    Moved; from different  state",""
"        Estimate","0.7%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.1"
"Morrison County, Minnesota",""
"    Total",""
"        Estimate","32,711"
"        Margin of Error","±70"
"    Moved; within same county",""
"        Estimate","6.0%"
"        Margin of Error","±1.0"
"    Moved; from different county, same state",""
"        Estimate","4.2%"
"        Margin of Error","±0.9"
"    Moved; from different  state",""
"        Estimate","0.7%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Mower County, Minnesota",""
"    Total",""
"        Estimate","39,297"
"        Margin of Error","±104"
"    Moved; within same county",""
"        Estimate","9.7%"
"        Margin of Error","±1.7"
"    Moved; from different county, same state",""
"        Estimate","3.9%"
"        Margin of Error","±0.9"
"    Moved; from different  state",""
"        Estimate","2.4%"
"        Margin of Error","±0.8"
"    Moved; from abroad",""
"        Estimate","0.8%"
"        Margin of Error","±0.4"
"Murray County, Minnesota",""
"    Total",""
"        Estimate","8,206"
"        Margin of Error","±20"
"    Moved; within same county",""
"        Estimate","3.9%"
"        Margin of Error","±0.9"
"    Moved; from different county, same state",""
"        Estimate","3.4%"
"        Margin of Error","±1.0"
"    Moved; from different  state",""
"        Estimate","1.4%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Nicollet County, Minnesota",""
"    Total",""
"        Estimate","33,595"
"        Margin of Error","±85"
"    Moved; within same county",""
"        Estimate","4.7%"
"        Margin of Error","±1.1"
"    Moved; from different county, same state",""
"        Estimate","8.0%"
"        Margin of Error","±1.1"
"    Moved; from different  state",""
"        Estimate","1.3%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.2"
"Nobles County, Minnesota",""
"    Total",""
"        Estimate","21,406"
"        Margin of Error","±102"
"    Moved; within same county",""
"        Estimate","5.4%"
"        Margin of Error","±1.5"
"    Moved; from different county, same state",""
"        Estimate","1.4%"
"        Margin of Error","±0.5"
"    Moved; from different  state",""
"        Estimate","1.3%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.5%"
"        Margin of Error","±0.4"
"Norman County, Minnesota",""
"    Total",""
"        Estimate","6,446"
"        Margin of Error","±17"
"    Moved; within same county",""
"        Estimate","3.3%"
"        Margin of Error","±1.0"
"    Moved; from different county, same state",""
"        Estimate","1.8%"
"        Margin of Error","±0.5"
"    Moved; from different  state",""
"        Estimate","4.1%"
"        Margin of Error","±1.6"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.2"
"Olmsted County, Minnesota",""
"    Total",""
"        Estimate","153,098"
"        Margin of Error","±248"
"    Moved; within same county",""
"        Estimate","7.8%"
"        Margin of Error","±0.7"
"    Moved; from different county, same state",""
"        Estimate","2.9%"
"        Margin of Error","±0.4"
"    Moved; from different  state",""
"        Estimate","2.8%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","1.0%"
"        Margin of Error","±0.3"
"Otter Tail County, Minnesota",""
"    Total",""
"        Estimate","57,472"
"        Margin of Error","±122"
"    Moved; within same county",""
"        Estimate","6.0%"
"        Margin of Error","±1.0"
"    Moved; from different county, same state",""
"        Estimate","2.9%"
"        Margin of Error","±0.3"
"    Moved; from different  state",""
"        Estimate","1.9%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Pennington County, Minnesota",""
"    Total",""
"        Estimate","14,050"
"        Margin of Error","±56"
"    Moved; within same county",""
"        Estimate","5.2%"
"        Margin of Error","±1.6"
"    Moved; from different county, same state",""
"        Estimate","3.7%"
"        Margin of Error","±1.0"
"    Moved; from different  state",""
"        Estimate","1.1%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Pine County, Minnesota",""
"    Total",""
"        Estimate","28,972"
"        Margin of Error","±45"
"    Moved; within same county",""
"        Estimate","3.8%"
"        Margin of Error","±0.8"
"    Moved; from different county, same state",""
"        Estimate","4.4%"
"        Margin of Error","±0.6"
"    Moved; from different  state",""
"        Estimate","1.3%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Pipestone County, Minnesota",""
"    Total",""
"        Estimate","9,075"
"        Margin of Error","±38"
"    Moved; within same county",""
"        Estimate","5.6%"
"        Margin of Error","±1.9"
"    Moved; from different county, same state",""
"        Estimate","2.9%"
"        Margin of Error","±1.3"
"    Moved; from different  state",""
"        Estimate","4.2%"
"        Margin of Error","±2.4"
"    Moved; from abroad",""
"        Estimate","0.6%"
"        Margin of Error","±0.7"
"Polk County, Minnesota",""
"    Total",""
"        Estimate","30,996"
"        Margin of Error","±99"
"    Moved; within same county",""
"        Estimate","5.5%"
"        Margin of Error","±0.9"
"    Moved; from different county, same state",""
"        Estimate","2.7%"
"        Margin of Error","±0.6"
"    Moved; from different  state",""
"        Estimate","3.6%"
"        Margin of Error","±0.9"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Pope County, Minnesota",""
"    Total",""
"        Estimate","10,904"
"        Margin of Error","±33"
"    Moved; within same county",""
"        Estimate","6.1%"
"        Margin of Error","±1.8"
"    Moved; from different county, same state",""
"        Estimate","5.6%"
"        Margin of Error","±1.2"
"    Moved; from different  state",""
"        Estimate","0.7%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Ramsey County, Minnesota",""
"    Total",""
"        Estimate","536,792"
"        Margin of Error","±558"
"    Moved; within same county",""
"        Estimate","8.7%"
"        Margin of Error","±0.5"
"    Moved; from different county, same state",""
"        Estimate","5.7%"
"        Margin of Error","±0.3"
"    Moved; from different  state",""
"        Estimate","2.4%"
"        Margin of Error","±0.2"
"    Moved; from abroad",""
"        Estimate","0.8%"
"        Margin of Error","±0.2"
"Red Lake County, Minnesota",""
"    Total",""
"        Estimate","3,964"
"        Margin of Error","±21"
"    Moved; within same county",""
"        Estimate","4.1%"
"        Margin of Error","±1.6"
"    Moved; from different county, same state",""
"        Estimate","2.9%"
"        Margin of Error","±0.9"
"    Moved; from different  state",""
"        Estimate","0.5%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.4"
"Redwood County, Minnesota",""
"    Total",""
"        Estimate","15,105"
"        Margin of Error","±31"
"    Moved; within same county",""
"        Estimate","3.9%"
"        Margin of Error","±1.0"
"    Moved; from different county, same state",""
"        Estimate","3.0%"
"        Margin of Error","±0.8"
"    Moved; from different  state",""
"        Estimate","0.7%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Renville County, Minnesota",""
"    Total",""
"        Estimate","14,444"
"        Margin of Error","±40"
"    Moved; within same county",""
"        Estimate","4.2%"
"        Margin of Error","±0.9"
"    Moved; from different county, same state",""
"        Estimate","3.2%"
"        Margin of Error","±0.7"
"    Moved; from different  state",""
"        Estimate","0.7%"
"        Margin of Error","±0.2"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.1"
"Rice County, Minnesota",""
"    Total",""
"        Estimate","65,618"
"        Margin of Error","±123"
"    Moved; within same county",""
"        Estimate","4.9%"
"        Margin of Error","±0.7"
"    Moved; from different county, same state",""
"        Estimate","5.8%"
"        Margin of Error","±0.8"
"    Moved; from different  state",""
"        Estimate","2.5%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.7%"
"        Margin of Error","±0.2"
"Rock County, Minnesota",""
"    Total",""
"        Estimate","9,234"
"        Margin of Error","±37"
"    Moved; within same county",""
"        Estimate","4.9%"
"        Margin of Error","±1.5"
"    Moved; from different county, same state",""
"        Estimate","2.9%"
"        Margin of Error","±1.3"
"    Moved; from different  state",""
"        Estimate","4.6%"
"        Margin of Error","±1.7"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Roseau County, Minnesota",""
"    Total",""
"        Estimate","15,192"
"        Margin of Error","±44"
"    Moved; within same county",""
"        Estimate","6.9%"
"        Margin of Error","±1.3"
"    Moved; from different county, same state",""
"        Estimate","1.9%"
"        Margin of Error","±0.5"
"    Moved; from different  state",""
"        Estimate","1.4%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"St. Louis County, Minnesota",""
"    Total",""
"        Estimate","197,792"
"        Margin of Error","±192"
"    Moved; within same county",""
"        Estimate","10.3%"
"        Margin of Error","±0.6"
"    Moved; from different county, same state",""
"        Estimate","3.9%"
"        Margin of Error","±0.4"
"    Moved; from different  state",""
"        Estimate","2.2%"
"        Margin of Error","±0.2"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.1"
"Scott County, Minnesota",""
"    Total",""
"        Estimate","143,635"
"        Margin of Error","±232"
"    Moved; within same county",""
"        Estimate","3.7%"
"        Margin of Error","±0.6"
"    Moved; from different county, same state",""
"        Estimate","5.1%"
"        Margin of Error","±0.5"
"    Moved; from different  state",""
"        Estimate","1.2%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.4%"
"        Margin of Error","±0.2"
"Sherburne County, Minnesota",""
"    Total",""
"        Estimate","93,197"
"        Margin of Error","±261"
"    Moved; within same county",""
"        Estimate","4.9%"
"        Margin of Error","±1.0"
"    Moved; from different county, same state",""
"        Estimate","7.4%"
"        Margin of Error","±0.9"
"    Moved; from different  state",""
"        Estimate","0.9%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.4%"
"        Margin of Error","±0.2"
"Sibley County, Minnesota",""
"    Total",""
"        Estimate","14,748"
"        Margin of Error","±49"
"    Moved; within same county",""
"        Estimate","2.6%"
"        Margin of Error","±0.7"
"    Moved; from different county, same state",""
"        Estimate","4.3%"
"        Margin of Error","±1.0"
"    Moved; from different  state",""
"        Estimate","1.0%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.2"
"Stearns County, Minnesota",""
"    Total",""
"        Estimate","156,738"
"        Margin of Error","±206"
"    Moved; within same county",""
"        Estimate","8.9%"
"        Margin of Error","±0.8"
